date_type,grid_id,location_name,hour,traffic
工作日,171,Bocconi大学/Navigli夜生活区,0,469.58057676113515
工作日,171,Bocconi大学/Navigli夜生活区,1,307.8508720680014
工作日,171,Bocconi大学/Navigli夜生活区,2,160.60594295107555
工作日,171,Bocconi大学/Navigli夜生活区,3,141.54243842486596
工作日,171,Bocconi大学/Navigli夜生活区,4,113.95718619366744
工作日,171,Bocconi大学/Navigli夜生活区,5,162.30520298532687
工作日,171,Bocconi大学/Navigli夜生活区,6,303.9918158444115
工作日,171,Bocconi大学/Navigli夜生活区,7,1011.3042432077236
工作日,171,Bocconi大学/Navigli夜生活区,8,2482.112874059303
工作日,171,Bocconi大学/Navigli夜生活区,9,3234.933961590662
工作日,171,Bocconi大学/Navigli夜生活区,10,3024.5736746695084
工作日,171,Bocconi大学/Navigli夜生活区,11,3169.3472417075163
工作日,171,Bocconi大学/Navigli夜生活区,12,2963.7110032213122
工作日,171,Bocconi大学/Navigli夜生活区,13,2852.4330274471135
工作日,171,Bocconi大学/Navigli夜生活区,14,2718.8587413069126
工作日,171,Bocconi大学/Navigli夜生活区,15,2827.0080875908648
工作日,171,Bocconi大学/Navigli夜生活区,16,3201.52110653391
工作日,171,Bocconi大学/Navigli夜生活区,17,3457.6093614977
工作日,171,Bocconi大学/Navigli夜生活区,18,3503.107295364001
工作日,171,Bocconi大学/Navigli夜生活区,19,3080.455569073185
工作日,171,Bocconi大学/Navigli夜生活区,20,2584.383214506366
工作日,171,Bocconi大学/Navigli夜生活区,21,2156.087124777971
工作日,171,Bocconi大学/Navigli夜生活区,22,1882.272508670078
工作日,171,Bocconi大学/Navigli夜生活区,23,1141.2667404652784
工作日,212,Duomo市中心,0,443.5265708623257
工作日,212,Duomo市中心,1,313.73776557833173
工作日,212,Duomo市中心,2,227.88086847185212
工作日,212,Duomo市中心,3,273.80354097709335
工作日,212,Duomo市中心,4,208.88470301306083
工作日,212,Duomo市中心,5,273.09902840215943
工作日,212,Duomo市中心,6,411.01293880433815
工作日,212,Duomo市中心,7,1326.8272075364944
工作日,212,Duomo市中心,8,3272.9015732857088
工作日,212,Duomo市中心,9,4951.583179079841
工作日,212,Duomo市中心,10,4925.645110548388
工作日,212,Duomo市中心,11,5239.874548168265
工作日,212,Duomo市中心,12,4758.136354150164
工作日,212,Duomo市中心,13,5174.0857099653285
工作日,212,Duomo市中心,14,4435.611085212352
工作日,212,Duomo市中心,15,4284.384091617941
工作日,212,Duomo市中心,16,4244.162415982436
工作日,212,Duomo市中心,17,4391.897179499971
工作日,212,Duomo市中心,18,4337.692998657456
工作日,212,Duomo市中心,19,3607.4961003036124
工作日,212,Duomo市中心,20,2643.644483235125
工作日,212,Duomo市中心,21,1769.9944333167425
工作日,212,Duomo市中心,22,1210.2388427852054
工作日,212,Duomo市中心,23,892.5768027597733
工作日,229,Fiera居住区,0,285.23049726568775
工作日,229,Fiera居住区,1,194.70280351287656
工作日,229,Fiera居住区,2,150.43816728773632
工作日,229,Fiera居住区,3,158.00732364453526
工作日,229,Fiera居住区,4,131.03324922159226
工作日,229,Fiera居住区,5,160.12959751741897
工作日,229,Fiera居住区,6,358.4302606315032
工作日,229,Fiera居住区,7,1097.1493286123805
工作日,229,Fiera居住区,8,2415.511187890436
工作日,229,Fiera居住区,9,3175.6588735275645
工作日,229,Fiera居住区,10,3292.882442095382
工作日,229,Fiera居住区,11,3601.7449995912584
工作日,229,Fiera居住区,12,3512.0489479244175
工作日,229,Fiera居住区,13,2355.8062506862143
工作日,229,Fiera居住区,14,3252.017944237427
工作日,229,Fiera居住区,15,3216.137735304487
工作日,229,Fiera居住区,16,3375.916685830091
工作日,229,Fiera居住区,17,3726.8338375509616
工作日,229,Fiera居住区,18,3404.4481642933224
工作日,229,Fiera居住区,19,2869.4245162532707
工作日,229,Fiera居住区,20,2138.6619916422032
工作日,229,Fiera居住区,21,1281.8318454455498
工作日,229,Fiera居住区,22,811.9730550427574
工作日,229,Fiera居住区,23,544.677272484259
工作日,211,Top1,0,615.69482238671
工作日,211,Top1,1,357.70089180919047
工作日,211,Top1,2,222.28087504468266
工作日,211,Top1,3,305.2295834651629
工作日,211,Top1,4,331.7418068478019
工作日,211,Top1,5,288.55849448170716
工作日,211,Top1,6,496.0639217005952
工作日,211,Top1,7,1683.4314837111492
工作日,211,Top1,8,4707.550636211992
工作日,211,Top1,9,5780.324900655077
工作日,211,Top1,10,5809.633978445153
工作日,211,Top1,11,6258.7858265035575
工作日,211,Top1,12,6131.981605304319
工作日,211,Top1,13,5838.786793323232
工作日,211,Top1,14,6148.670464969608
工作日,211,Top1,15,5459.964312508392
工作日,211,Top1,16,5724.130256810942
工作日,211,Top1,17,6013.973541946213
工作日,211,Top1,18,6380.575823661319
工作日,211,Top1,19,4652.974680614024
工作日,211,Top1,20,3271.10930697461
工作日,211,Top1,21,2270.1203029436547
工作日,211,Top1,22,1607.0889656702204
工作日,211,Top1,23,1313.5232398781616
工作日,252,Top3,0,476.5793718428499
工作日,252,Top3,1,338.6593965058057
工作日,252,Top3,2,254.67810016676356
工作日,252,Top3,3,289.0076653238348
工作日,252,Top3,4,313.5120866059039
工作日,252,Top3,5,337.85901981601324
工作日,252,Top3,6,562.8227266752564
工作日,252,Top3,7,1499.4427101182991
工作日,252,Top3,8,3348.215937013869
工作日,252,Top3,9,4556.089226444172
工作日,252,Top3,10,5029.743065822407
工作日,252,Top3,11,5443.039700019969
工作日,252,Top3,12,5291.480175772313
工作日,252,Top3,13,5417.954952388842
工作日,252,Top3,14,5589.066366918747
工作日,252,Top3,15,4270.247175439652
工作日,252,Top3,16,5692.884301711251
工作日,252,Top3,17,4602.50507218936
工作日,252,Top3,18,4499.374382294869
工作日,252,Top3,19,3283.9457220500894
