grid_id,date_label,date,weekday,hour,traffic
0,普通工作日,2013-11-13,Wednesday,0,9.750135428033092
0,圣诞假期开始,2013-12-23,Monday,0,16.59616836443761
0,普通工作日,2013-11-13,Wednesday,1,6.086568258536135
0,圣诞假期开始,2013-12-23,Monday,1,11.316956709351798
0,普通工作日,2013-11-13,Wednesday,2,0.9933363081681612
0,圣诞假期开始,2013-12-23,Monday,2,3.0236514309632314
0,普通工作日,2013-11-13,Wednesday,3,1.2699012688853462
0,圣诞假期开始,2013-12-23,Monday,3,4.259259194556469
0,普通工作日,2013-11-13,Wednesday,4,3.288105023678596
0,圣诞假期开始,2013-12-23,Monday,4,5.720919583386948
0,普通工作日,2013-11-13,Wednesday,5,7.2254431594711495
0,圣诞假期开始,2013-12-23,Monday,5,4.5630939436863045
0,普通工作日,2013-11-13,Wednesday,6,12.909182478387303
0,圣诞假期开始,2013-12-23,Monday,6,20.409250008197624
0,普通工作日,2013-11-13,Wednesday,7,68.82132783404839
0,圣诞假期开始,2013-12-23,Monday,7,47.504253367540514
0,普通工作日,2013-11-13,Wednesday,8,96.7286387091761
0,圣诞假期开始,2013-12-23,Monday,8,119.36263834952605
0,普通工作日,2013-11-13,Wednesday,9,147.5040765717429
0,圣诞假期开始,2013-12-23,Monday,9,177.87587400982486
0,普通工作日,2013-11-13,Wednesday,10,162.32552073096505
0,圣诞假期开始,2013-12-23,Monday,10,210.82569447372734
0,普通工作日,2013-11-13,Wednesday,11,190.58245976874576
0,圣诞假期开始,2013-12-23,Monday,11,170.22033609220347
0,普通工作日,2013-11-13,Wednesday,12,118.00411267770467
0,圣诞假期开始,2013-12-23,Monday,12,176.20923525017093
0,普通工作日,2013-11-13,Wednesday,13,139.90306134735283
0,圣诞假期开始,2013-12-23,Monday,13,143.67283336081752
0,普通工作日,2013-11-13,Wednesday,14,146.42665334651463
0,圣诞假期开始,2013-12-23,Monday,14,173.53920069944206
0,普通工作日,2013-11-13,Wednesday,15,185.29250333746472
0,圣诞假期开始,2013-12-23,Monday,15,178.3783438715584
0,普通工作日,2013-11-13,Wednesday,16,167.64608603376075
0,圣诞假期开始,2013-12-23,Monday,16,184.3189734676324
0,普通工作日,2013-11-13,Wednesday,17,149.7510960566828
0,圣诞假期开始,2013-12-23,Monday,17,189.1633756880063
0,普通工作日,2013-11-13,Wednesday,18,176.71180917747472
0,圣诞假期开始,2013-12-23,Monday,18,224.69163740261462
0,普通工作日,2013-11-13,Wednesday,19,134.26104363388816
0,圣诞假期开始,2013-12-23,Monday,19,187.9391147829921
0,普通工作日,2013-11-13,Wednesday,20,110.02458804972723
0,圣诞假期开始,2013-12-23,Monday,20,148.24629317399263
0,普通工作日,2013-11-13,Wednesday,21,75.79542095397217
0,圣诞假期开始,2013-12-23,Monday,21,109.91237501946499
0,普通工作日,2013-11-13,Wednesday,22,46.76100323910215
0,圣诞假期开始,2013-12-23,Monday,22,35.417837058978144
0,普通工作日,2013-11-13,Wednesday,23,21.54779107587475
0,圣诞假期开始,2013-12-23,Monday,23,24.09466250404706
0,普通周末,2013-11-17,Sunday,0,22.3921298400593
0,平安夜,2013-12-24,Tuesday,0,15.863779158553
0,普通周末,2013-11-17,Sunday,1,12.81557607387986
0,平安夜,2013-12-24,Tuesday,1,9.436641686992354
0,普通周末,2013-11-17,Sunday,2,9.54409425144477
0,平安夜,2013-12-24,Tuesday,2,8.149447213531783
0,普通周末,2013-11-17,Sunday,3,7.970227338454243
0,平安夜,2013-12-24,Tuesday,3,6.595336463676515
0,普通周末,2013-11-17,Sunday,4,4.095286310530108
0,平安夜,2013-12-24,Tuesday,4,6.569134663284715
0,普通周末,2013-11-17,Sunday,5,5.2958855564960166
0,平安夜,2013-12-24,Tuesday,5,7.731830430126834
0,普通周末,2013-11-17,Sunday,6,6.000369362143615
0,平安夜,2013-12-24,Tuesday,6,10.154103398342954
0,普通周末,2013-11-17,Sunday,7,9.589788076995106
0,平安夜,2013-12-24,Tuesday,7,22.953006324800757
0,普通周末,2013-11-17,Sunday,8,27.855711047135312
0,平安夜,2013-12-24,Tuesday,8,71.45567179433894
0,普通周末,2013-11-17,Sunday,9,69.81109543029783
0,平安夜,2013-12-24,Tuesday,9,188.95137861181732
0,普通周末,2013-11-17,Sunday,10,124.44150123695752
0,平安夜,2013-12-24,Tuesday,10,191.60348844631486
0,普通周末,2013-11-17,Sunday,11,112.01356497978743
0,平安夜,2013-12-24,Tuesday,11,266.40989280192724
0,普通周末,2013-11-17,Sunday,12,96.84022158389241
0,平安夜,2013-12-24,Tuesday,12,164.5500562552251
